movieId,reviews,critic_reviews,metascore,Budget,US_and_Canada_Gross,Opening_Weekend,Global_Gross,Runtime,imdb_rating
7139,289,141,76,0,15539656,205229,25382911,105,7.7
7141,24,16,78,0,40573,18763,40573,83,8.3
7142,149,86,37,18000000,30308417,12856040,62228395,94,5.3
7143,1000,175,55,140000000,111127263,24271354,454627263,154,7.8
7147,1000,251,58,70000000,66809693,207377,123218424,125,8
7149,454,144,66,80000000,124728738,16064723,265328738,128,6.7
7150,154,125,62,55000000,33832741,9411055,65784503,118,5.8
7151,330,140,72,12000000,11670971,89472,33030115,100,6.9
7153,4200,351,94,94000000,379427292,72629713,1156149085,201,9
7154,305,116,45,65000000,63860942,11528498,141337989,117,6.5
7155,152,65,60,10000000,31041759,151393,93400759,108,6.9
7156,170,132,87,0,4198566,41449,5038841,107,8.1
7158,512,134,71,16500000,13040288,45572,16763804,126,7.5
7160,631,202,74,8000000,34469210,86831,58469210,109,7.3
7161,306,105,46,40000000,138614544,27557647,190538630,98,5.9
7162,727,176,73,79000000,95636509,14500000,173013509,154,7.2
7163,406,192,43,60000000,53790451,13462374,117248958,119,6.3
7164,532,149,64,100000000,48462608,11139495,121975011,113,6.8
7165,132,89,73,15000000,2283914,93776,6415017,112,6.2
7167,134,62,73,5740000,647054,23962,4098613,106,6.8
7169,146,64,46,23000000,12195626,6081483,12313323,101,6.1
7171,45,37,71,0,97362,16158,97362,93,7.1
7173,309,65,44,42000000,88097164,27721185,178311729,90,6
7175,232,86,41,40000000,21215059,9970557,46546197,84,4.1
7176,37,62,82,0,148959,13476,400768,97,7.4
7177,80,105,83,46000,1270904,51969,3910519,83,7.3
7178,165,49,43,6500000,20563273,0,20563273,144,6.4
7179,112,10,0,0,0,0,0,105,6.6
7181,85,30,0,4000000,0,0,0,149,7.1
7184,77,33,0,4000000,0,0,0,110,7
7190,39,6,0,0,0,0,0,110,6.4
7191,26,14,0,0,3104545,1326472,3104545,78,5.5
7192,62,26,0,6000000,3283371,1286889,3283371,99,6.5
7193,124,58,24,20000000,21413502,6374391,21413502,104,6.4
7202,107,91,0,3000000,0,0,302586,96,5.8
7205,125,51,67,4000000,0,0,0,119,6.8
7206,87,95,0,250000,0,0,84979,116,7.7
7208,109,54,0,0,3924000,0,5125180,113,6.8
7209,111,104,0,0,0,0,256263,114,7.3
7211,108,28,0,0,0,0,0,110,7.3
7212,67,39,0,2000000,0,0,0,105,7
7215,206,91,90,0,0,0,12459,100,7.8
7216,124,57,0,455000,0,0,0,100,7.5
7217,188,74,68,1600000,0,0,9693,106,7.5
7218,183,70,0,565000,0,0,0,75,8
7219,91,51,0,400000,0,0,0,95,7.2
7222,147,50,70,0,0,0,0,66,3.7
7223,185,66,0,0,0,0,0,83,7.2
7225,73,39,72,0,0,0,0,86,7.3
7228,122,51,27,30000000,14110589,5556451,14110589,102,4.8
7234,177,115,0,0,0,0,41362,108,8
7235,329,111,55,1400000,20285,2750,80631,129,7
7236,165,87,68,400000,0,0,0,91,6.4
7238,58,61,0,6070000,0,0,0,103,7.7
7243,147,56,99,385907,0,0,0,163,7.7
7245,84,47,0,0,0,0,0,75,4.8
7247,230,58,64,10000000,7500000,0,7500445,144,6.9
7248,48,27,58,400000000,454736,45904,458564,185,6.4
7251,42,14,64,3000000,390152,190961,390152,105,6.5
7254,1300,179,30,13000000,57938693,17100000,96822421,113,7.6
7255,163,83,52,22000000,17071962,7320066,21513434,96,5.6
7256,178,119,82,0,4593598,96973,13904795,106,8
7257,99,74,42,50000000,6489476,3336374,6808550,88,4.9
7258,103,67,35,40000000,10391003,4873819,10898337,93,5.7
7259,254,49,37,8000000,40363810,16123105,50576805,95,3.8
7260,261,17,45,850000,834685,57242,865028,107,7
7261,74,54,59,30000000,65111277,24241612,65991448,106,5.7
7262,53,48,33,12000000,16703799,5824860,16951702,91,5.2
7263,335,106,68,28000000,64378093,19377577,64445708,135,7.4
7264,11,38,61,0,47806,8572,1958291,97,6.4
7265,295,207,63,15000000,2532228,142632,24152155,115,7.1
7266,127,89,45,40000,143121,10425,143121,90,6.8
7282,27,8,0,0,0,0,0,90,1.4
7285,597,121,70,2000000,4601043,116260,10128960,100,6.8
7292,41,13,29,18000000,19265302,7872297,19265302,94,3.8
7293,576,146,48,75000000,120908074,39852237,198520934,99,6.8
7294,101,77,33,30000000,14470947,6775132,14615099,110,5.3
7297,44,65,75,0,351235,48103,2823472,95,7.3
7299,56,55,69,0,2823890,0,12364836,96,7.3
7301,65,49,0,0,47000,7674,47000,115,7.8
7302,76,65,0,1135654,0,0,0,155,7.7
7303,73,34,59,3800000,0,0,0,180,7.4
7304,49,19,0,0,0,0,0,85,7.4
7305,84,44,70,10500000,25205460,3426831,25205460,102,6.4
7306,35,12,64,0,52000,6515,52000,123,7.8
7307,136,81,56,6500000,0,0,0,126,6.7
7308,104,46,29,12500000,15057465,5005788,15057465,100,5.2
7310,145,48,44,8500000,16209459,5438978,16209459,106,5.6
7311,120,29,0,0,0,0,0,114,7.9
7312,44,4,0,0,0,0,0,131,7.1
7315,56,64,36,39000000,5884190,3038546,6596511,110,5.3
7316,111,38,33,15000000,29331068,9350572,33251890,89,4.7
7317,392,78,45,25000000,17771387,6711384,22605153,92,6.6
7318,2900,308,47,30000000,370782930,83848082,612054506,127,7.2
7319,208,74,45,8600000,5001708,3035688,7565807,104,5.7
7320,222,69,39,25000000,14161590,5900000,27685016,86,5.9
7321,200,81,26,50000000,25198598,8904299,40954603,97,5.3
7323,257,157,68,4800000,4064200,57968,79316957,121,7.7
7324,371,122,54,100000000,67303450,18829435,108040622,136,6.7
7325,343,168,55,60000000,88237754,28103367,170268750,101,6.1
7326,57,40,49,0,257252,18044,1152528,112,6.4
7327,290,95,86,0,0,0,90556,85,8.1
7328,54,21,0,0,0,0,0,101,7.6
7333,59,65,0,0,36089,6452,36089,92,7.8
7335,134,108,0,780000,0,0,0,80,7.6
7336,71,51,0,2000000,0,0,0,157,7.4
7340,92,38,57,0,11528900,3307171,11528900,100,6.5
7344,39,20,0,0,0,0,0,94,6.7
7345,55,57,32,26000000,23630159,8014005,28818995,100,4.5
7346,629,117,47,25000000,14589444,6003806,30381722,109,6.7
7347,639,167,46,40000000,48022900,18237568,92913171,96,6.5
7348,260,96,60,19250000,4434432,2011435,8112712,106,6.5
7349,30,56,75,0,421454,24862,760318,87,7.4
7352,54,62,69,4000000,235294,13747,1873482,111,6.8
7354,69,28,71,19000000,11081586,3815555,11081586,97,6.2
7357,101,36,63,0,25600000,0,0,157,7.2
7360,1200,303,59,26000000,59020957,26722575,102278712,101,7.3
7361,2000,307,89,20000000,34400301,8175198,74036715,108,8.3
7362,401,135,38,45000000,32682342,11458465,65470529,103,6.2
7364,100,73,64,5000000,896993,39936,5175215,105,6.8
7366,381,126,43,35000000,25268157,8300000,35492921,102,6.2
7367,443,199,56,35000000,39799191,12634563,76665191,104,6.2
7368,46,39,38,3000000,5645298,3089993,5923000,88,5.6
7369,216,101,34,80000000,84239132,29438331,181239132,93,5.2
7371,702,166,61,10000000,1535286,88855,16690617,178,8
7372,152,23,56,0,86959,43704,6585516,110,6.4
7373,684,118,72,66000000,59623958,23172440,99378985,122,6.8
7375,172,73,47,22000000,28176497,9406378,37666766,111,5.8
7376,250,121,44,46000000,46437717,15501114,57223890,86,6.3
7377,109,54,37,0,343847,48384,343847,108,7
7379,319,94,47,107000000,22414961,9124701,25819961,137,6
7380,291,78,53,31000000,22918387,6100000,27388767,96,6.3
7381,128,75,24,40000000,16328471,6685381,26170671,98,5.5
7382,95,90,73,0,1615328,48292,7354418,108,7.4
7386,354,73,0,13282712,65500000,0,65500000,220,7.9
7387,783,189,71,650000,0,0,159822,127,7.8
7390,40,29,48,0,58040,6835,86277,104,6.1
7394,72,37,0,5600000,0,0,0,138,7
7395,59,15,0,0,9646500,0,0,86,7
7396,55,28,0,0,0,0,0,283,8.5
7411,26,27,0,0,0,0,0,83,3.9
7414,40,21,65,5500000,26869286,1781164,26869286,97,7.1
7419,285,126,90,4500000,10609321,45435,10609321,97,7.6
7438,1100,311,83,30000000,66208183,25600000,154117157,137,8
7439,700,204,33,33000000,33810189,14000000,54700105,124,6.4
7440,39,28,64,0,1121744,25535,1152757,82,7.3
7443,10,16,76,0,226658,8435,226658,89,6.3
7444,448,79,57,37000000,57231747,21054283,96455697,98,6.3
7445,904,162,47,70000000,77911774,22751490,130834852,146,7.7
7448,193,85,31,40000000,13562325,6160886,14494036,99,4.8
7449,201,123,24,25000000,14379751,6900000,30120671,102,4.8
7450,111,90,38,32000000,17871255,7000000,30031874,90,5.8
7451,769,128,66,17000000,86058055,24432195,130126277,97,7.1
7454,1400,128,35,160000000,120177084,51748040,300157638,131,6.1
7455,33,20,62,800000,62852,11102,62852,94,7.1
7457,25,37,46,10000000,12264319,5088577,12544254,85,5.6
